Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF 0603,C_0603_1608Metric,158.75,-128.778,0,top
D1,RED,LED_0805_2012Metric,168.5775,-73.66,0,top
D2,RED,LED_0805_2012Metric,168.5775,-76.2,0,top
D3,RED,LED_0805_2012Metric,168.5775,-78.74,0,top
D4,YELLOW,LED_0805_2012Metric,168.5775,-81.28,0,top
D5,YELLOW,LED_0805_2012Metric,168.5775,-83.82,0,top
D6,GREEN,LED_0805_2012Metric,168.5775,-86.36,0,top
D7,YELLOW,LED_0805_2012Metric,168.5775,-88.9,0,top
D8,YELLOW,LED_0805_2012Metric,168.5775,-91.44,0,top
D9,RED,LED_0805_2012Metric,168.5775,-93.98,0,top
D10,RED,LED_0805_2012Metric,168.5775,-96.52,0,top
D11,RED,LED_0805_2012Metric,168.5775,-99.06,0,top
D12,1N4148W,D_SOD-123,183.896,-129.286,0,top
M1,SI2300,SOT23_1_,183.388,-124.714,180,top
R1,100,R_0603_1608Metric,175.14,-73.66,180,top
R2,100,R_0603_1608Metric,175.14,-76.2,180,top
R3,100,R_0603_1608Metric,175.14,-78.74,180,top
R4,100,R_0603_1608Metric,175.14,-81.28,180,top
R5,100,R_0603_1608Metric,175.14,-83.82,180,top
R6,100,R_0603_1608Metric,175.14,-86.36,180,top
R7,100,R_0603_1608Metric,175.14,-88.9,180,top
R8,100,R_0603_1608Metric,175.14,-91.44,180,top
R9,100,R_0603_1608Metric,175.14,-93.98,180,top
R10,100,R_0603_1608Metric,175.14,-96.52,180,top
R11,100,R_0603_1608Metric,175.14,-99.06,180,top
R12,10K,R_0603_1608Metric,183.388,-119.634,0,top
R13,10K,R_0603_1608Metric,160.211,-115.824,180,top
R14,10K,R_0603_1608Metric,156.781,-115.824,0,top
SW1,SW_Push,SW_SPST_TL3342,172.72,-111.76,0,top
U1,L9110S,SOP-8_3.76x4.96mm_P1.27mm,158.75,-123.19,90,top
